postcode,lat,long
SG1 3EH,51.911256,-0.208473
FK7 7NZ,56.1135678,-3.932877
RH20 4NQ,50.9181638,-0.4519628
DY8 1HJ,52.4559312,-2.1463221
E20 1EH,58.3807309,13.4561084
CV37 8LU,52.1783488,-1.7005806
GL5 2AP,51.7417666,-2.2113887
CO10 2SS,52.036878,0.7316168
SL5 0HD,51.3915866,-0.6336836
KT6 4QR,51.3937169,-0.3045732
B72 1PL,52.5614244,-1.8241795
PE37 7HT,52.6557135,0.6840481
NW11 0QS,51.582993,-0.1998346
TN30 6BW,51.0683648,0.6885843
OX9 3ZD,51.7495468,-0.9780385
RG19 3HN,51.4027685,-1.2567861
TN9 1RG,51.1942745,0.2758086
TQ1 3HL,50.4767935,-3.5280424
W1T 7QF,51.5192018,-0.1325879
NN12 6HZ,52.1301224,-0.9894138
TW1 3RJ,51.4482985,-0.3288163
RG10 9EH,51.477882,-0.8663589
TN22 1PU,50.9693611,0.0962096
RM14 3BT,51.5561793,0.2520522
SW8 1SJ,51.4848589,-0.1241108
SW1E 6QP ,51.4976619,-0.1375024
OX10 0EF,51.6007212,-1.1252467
PR5 4AW,53.7488186,-2.6776941
KT12 1BQ,49.7628598,10.2386746
SW18 4TG,51.4553616,-0.1944535
OX12 8BD,51.5888411,-1.4249186
BA12 9BR,51.2056402,-2.1779034
PO7 7HS,50.8794008,-1.0305049
TA21 8RD,50.9798563,-3.2255596
BA5 2PJ,51.2097501,-2.6501589
AL8 6AB,51.8022866,-0.2040212
KT14 6NE,51.3386286,-0.5060357
W13 0NL,51.5130454,-0.3214039
BS9 4HN,51.4803926,-2.6122265
W12 7GA,51.5072023,-0.2232423
BS23 3UZ,51.3414977,-2.9581935
KT13 8BL,51.3736193,-0.4568807
N20 9HX,51.6312758,-0.1755706
HU10 6EB,53.7640922,-0.455222
SK9 1AY,53.3289079,-2.2291907
SW19 7JY,51.4231223,-0.2043401
SW19 7NS,51.4209603,-0.2076178
BH21 1AN,50.8002158,-1.9824804
SO22 6EL,51.0743309,-1.3369382
SL4 1TG,51.4820158,-0.6103315
BH9 2AD,50.7407046,-1.8790472
OX28 6AR,51.7848169,-1.4834484
RG40 1BB,51.4116676,-0.833588
WV2 4NJ,52.5742632,-2.1329641
RG5 3JW,51.4518087,-0.9055022
KT4 8DX,51.3781963,-0.2435598
BN11 1LL,50.8137831,-0.3676758
NR18 0SH,52.5752072,1.1237104
GU46 6FR,51.3389943,-0.8463583
YO31 7UL,53.9567435,-1.0698609
