Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,520000,279410,-0.237654,52.399522,35,3,1,1,12/03/2012,2,08:55,393,E10000003,5,103,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018192
2.01E+12,532080,267960,-0.064705,52.293863,35,3,2,2,13/03/2012,3,07:35,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018129
2.01E+12,526160,256070,-0.155897,52.188411,35,3,1,1,17/03/2012,7,19:33,393,E10000003,4,1046,6,60,0,-1,-1,0,0,0,6,9,-1,0,0,2,2,E01018136
2.01E+12,528910,272360,-0.109475,52.334151,35,3,4,2,19/03/2012,2,08:58,393,E10000003,3,1123,6,40,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01018205
2.01E+12,515930,290750,-0.293511,52.502302,35,3,4,3,19/03/2012,2,16:40,393,E10000003,2,1,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018127
2.01E+12,525800,255220,-0.161475,52.180855,35,3,1,1,23/03/2012,6,07:31,393,E10000003,5,175,6,60,0,-1,-1,0,0,0,1,7,1,0,7,2,1,E01018136
2.01E+12,522670,253010,-0.208028,52.1617,35,3,2,2,23/03/2012,6,08:24,393,E10000003,6,0,6,60,3,3,6,0,0,0,1,7,1,0,0,2,1,E01018246
2.01E+12,525050,272310,-0.166113,52.334594,35,3,2,1,23/03/2012,6,07:58,393,E10000003,4,1514,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018142
2.01E+12,518980,267370,-0.2569,52.291551,35,3,2,1,24/03/2012,7,07:57,393,E10000003,3,1,1,50,1,4,4,661,0,0,1,7,2,0,0,2,1,E01018119
2.01E+12,525400,270710,-0.161576,52.320137,35,3,2,2,24/03/2012,7,16:04,393,E10000003,4,1044,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018131
2.01E+12,520710,279700,-0.227119,52.401972,35,3,2,6,24/03/2012,7,17:08,393,E10000003,5,103,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018207
2.01E+12,518770,259140,-0.26287,52.217639,35,3,2,1,22/03/2012,5,12:00,393,E10000003,6,0,6,30,8,4,6,0,0,0,1,9,1,0,0,1,2,E01018186
2.01E+12,524470,271910,-0.174769,52.331132,35,3,1,1,26/03/2012,2,14:12,393,E10000003,4,1514,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01018138
2.01E+12,503790,276800,-0.476621,52.379377,35,3,3,1,26/03/2012,2,11:12,393,E10000003,3,14,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018126
