Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,545400,259160,0.126684,52.21144,35,3,2,1,21/03/2012,4,09:10,390,E10000003,5,292,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,2,E01017982
2.01E+12,546120,256630,0.136124,52.188519,35,3,1,2,22/03/2012,5,10:41,390,E10000003,3,1307,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01017966
2.01E+12,546120,261480,0.138216,52.232093,35,2,1,1,22/03/2012,5,18:50,390,E10000003,5,286,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01017980
2.01E+12,545580,257930,0.128788,52.200342,35,3,2,1,23/03/2012,6,05:00,390,E10000003,3,603,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01017981
2.01E+12,544360,260570,0.112075,52.224381,35,2,2,1,27/11/2012,3,12:28,390,E10000003,4,1049,6,30,0,-1,-1,0,0,0,1,8,2,0,0,1,1,E01017953
2.01E+12,545260,258420,0.124319,52.204829,35,3,1,1,22/03/2012,5,09:22,390,E10000003,5,294,2,20,3,4,6,0,0,1,1,1,1,0,6,1,1,E01017981
2.01E+12,546340,260000,0.140795,52.218738,35,2,3,2,25/03/2012,1,02:05,390,E10000003,6,0,6,30,3,4,6,0,0,0,4,9,-1,0,0,1,1,E01017973
2.01E+12,547340,257060,0.154144,52.192058,35,2,2,1,26/03/2012,2,15:15,390,E10000003,3,1134,1,30,1,4,6,0,0,4,1,1,1,0,0,1,2,E01017967
2.01E+12,544570,255270,0.112887,52.176709,35,3,2,1,26/03/2012,2,08:40,390,E10000003,3,1309,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01018002
2.01E+12,547260,256470,0.152718,52.186779,35,3,2,1,26/03/2012,2,14:35,390,E10000003,3,1134,1,30,1,4,5,235,0,4,1,1,1,0,0,1,1,E01017968
2.01E+12,545540,258500,0.128448,52.205473,35,2,2,1,27/03/2012,3,16:15,390,E10000003,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01017983
2.01E+12,547570,258040,0.157933,52.200801,35,2,2,1,26/03/2012,2,07:50,390,E10000003,3,1134,1,30,1,4,5,298,0,0,7,9,1,0,0,1,2,E01017997
2.01E+12,543950,253330,0.103004,52.159441,35,3,2,1,29/03/2012,5,06:12,390,E10000003,3,10,1,60,1,4,1,11,0,0,1,1,1,0,0,2,1,E01018003
2.01E+12,545400,259500,0.12683,52.214495,35,3,1,1,29/03/2012,5,10:17,390,E10000003,3,1134,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01018009
2.01E+12,546050,260420,0.136734,52.222588,35,2,1,1,05/04/2012,5,14:55,390,E10000003,3,1309,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018006
2.01E+12,545640,258270,0.129812,52.203381,35,3,2,1,08/04/2012,1,13:00,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01017981
2.01E+12,545590,258470,0.129167,52.205191,35,3,2,1,12/04/2012,5,11:00,390,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017983
2.01E+12,545090,257590,0.121478,52.197416,35,3,1,1,14/04/2012,7,13:12,390,E10000003,3,1134,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01018005
2.01E+12,544010,258790,0.106197,52.208481,35,3,2,1,17/04/2012,3,11:25,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017986
2.01E+12,547600,258000,0.158354,52.200434,35,3,2,1,17/04/2012,3,18:46,390,E10000003,3,1134,1,30,1,4,5,298,0,1,1,1,1,0,0,1,1,E01017999
2.01E+12,544280,254140,0.108168,52.166632,35,3,2,1,18/04/2012,4,13:00,390,E10000003,3,1309,3,40,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01018002
2.01E+12,548050,256860,0.164436,52.190071,35,3,2,2,19/04/2012,5,13:00,390,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01017961
2.01E+12,545150,259410,0.123135,52.213752,35,3,1,2,19/04/2012,5,14:30,390,E10000003,3,1134,1,30,1,2,3,1303,0,5,1,2,2,0,0,1,1,E01018009
2.01E+12,548720,256640,0.174134,52.187915,35,3,2,1,20/04/2012,6,15:56,390,E10000003,5,233,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01017964
2.01E+12,544340,260080,0.111573,52.219984,35,3,2,1,20/04/2012,6,17:34,390,E10000003,4,1049,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01017949
2.01E+12,547530,257990,0.157326,52.200363,35,3,2,1,21/04/2012,7,18:45,390,E10000003,3,1134,1,30,1,4,5,298,0,0,1,1,1,0,0,1,1,E01017997
2.01E+12,546420,258650,0.141382,52.206588,35,3,2,1,24/04/2012,3,23:10,390,E10000003,6,0,6,30,3,4,6,0,0,0,4,9,2,0,0,1,2,E01017989
2.01E+12,545760,260020,0.132319,52.219072,35,3,2,1,25/04/2012,4,18:30,390,E10000003,3,1134,1,30,1,4,3,1309,0,8,1,1,1,0,0,1,1,E01018008
2.01E+12,545070,256410,0.120681,52.18682,35,3,2,1,26/04/2012,5,16:30,390,E10000003,3,1309,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01018004
2.01E+12,546600,255540,0.142669,52.178599,35,3,2,1,27/04/2012,6,16:45,390,E10000003,3,1307,6,30,6,2,3,1134,0,5,1,5,1,0,0,1,2,E01017993
2.01E+12,545120,257590,0.121917,52.197408,35,3,2,1,28/04/2012,7,15:02,390,E10000003,3,603,1,30,1,4,3,1134,0,1,1,1,1,0,0,1,2,E01018005
2.01E+12,545310,259460,0.125497,52.214159,35,3,2,1,30/04/2012,2,15:35,390,E10000003,3,1134,1,30,1,2,5,292,0,5,1,1,1,0,0,1,1,E01018009
2.01E+12,544360,258930,0.111376,52.209647,35,3,3,1,30/04/2012,2,18:18,390,E10000003,3,1134,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01017958
2.01E+12,547920,258780,0.163373,52.207356,35,3,2,1,01/05/2012,3,15:19,390,E10000003,3,1134,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01017947
2.01E+12,545640,261640,0.131261,52.233658,35,3,2,3,30/04/2012,2,12:00,390,E10000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017980
2.01E+12,546050,256810,0.135178,52.190155,35,3,2,1,04/05/2012,6,16:26,390,E10000003,3,1307,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017966
2.01E+12,546340,256660,0.139353,52.188731,35,3,2,1,03/05/2012,5,16:00,390,E10000003,5,235,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01017966
2.01E+12,545730,259400,0.131614,52.213509,35,3,2,1,08/05/2012,3,18:45,390,E10000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01018010
2.01E+12,544150,259520,0.108555,52.215003,35,2,2,1,11/05/2012,6,10:09,390,E10000003,3,1307,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01017957
2.01E+12,547440,259370,0.156611,52.212785,35,3,2,1,11/05/2012,6,16:55,390,E10000003,3,1134,6,30,3,4,6,0,0,4,1,1,1,0,0,1,2,E01017946
